p.id,p.title,p.year,p.venue,p.venuetype,p.keyword,p.doi,p.abstract,p.notes,f.cat0,f.cat1,f.cat2,f.uc0,f.uc1,f.uc2,f.user,d.source,d.vgi,d.official,d.reference,a.type,a.collec,a.prep1,a.prep2,a.prep3,a.analysis1,a.analysis2,a.analysis3,a.viz,a.tool
p106,A geographic approach for combining social media and authoritative data towards identifying useful information for disaster management,2015,International Journal of Geographical Information Science,journal,Volunteered Geographic Information; social media; crisis; disaster; emergency management; Twitter; flood; Germany,http://dx.doi.org/10.1080/13658816.2014.996567,"In recent years, social media emerged as a potential resource to improve the management of crisis situations such as disasters triggered by natural hazards. Although there is a growing research body concerned with the analysis of the usage of social media during disasters, most previous work has concentrated on using social media as a stand-alone information source, whereas its combination with other information sources holds a still underexplored potential. This article presents an approach to enhance the identification of relevant messages from social media that relies upon the relations between georeferenced social media messages as Volunteered Geographic Information and geographic features of flood phenomena as derived from authoritative data (sensor data, hydrological data and digital elevation models). We apply this approach to examine the micro-blogging text messages of the Twitter platform (tweets) produced during the River Elbe Flood of June 2013 in Germany. This is performed by means of a statistical analysis aimed at identifying general spatial patterns in the occurrence of flood-related tweets that may be associated with proximity to and severity of flood events. The results show that messages near (up to 10ÿkm) to severely flooded areas have a much higher probability of being related to floods. In this manner, we conclude that the geographic approach proposed here provides a reliable quantitative indicator of the usefulness of messages from social media by leveraging the existing knowledge about natural hazards such as floods, thus being valuable for disaster management in both crisis response and preventive monitoring.",,data-centric,data quality,actionable information,natural disaster,floodings,Elbe Floods 2012,emergency managers,Twitter,,yes,,descriptive,,classification,,spatial filtering,,,"GAM, GLS",basic mapping,yes
p106,A geographic approach for combining social media and authoritative data towards identifying useful information for disaster management,2015,International Journal of Geographical Information Science,journal,Volunteered Geographic Information; social media; crisis; disaster; emergency management; Twitter; flood; Germany,http://dx.doi.org/10.1080/13658816.2014.996567,"In recent years, social media emerged as a potential resource to improve the management of crisis situations such as disasters triggered by natural hazards. Although there is a growing research body concerned with the analysis of the usage of social media during disasters, most previous work has concentrated on using social media as a stand-alone information source, whereas its combination with other information sources holds a still underexplored potential. This article presents an approach to enhance the identification of relevant messages from social media that relies upon the relations between georeferenced social media messages as Volunteered Geographic Information and geographic features of flood phenomena as derived from authoritative data (sensor data, hydrological data and digital elevation models). We apply this approach to examine the micro-blogging text messages of the Twitter platform (tweets) produced during the River Elbe Flood of June 2013 in Germany. This is performed by means of a statistical analysis aimed at identifying general spatial patterns in the occurrence of flood-related tweets that may be associated with proximity to and severity of flood events. The results show that messages near (up to 10ÿkm) to severely flooded areas have a much higher probability of being related to floods. In this manner, we conclude that the geographic approach proposed here provides a reliable quantitative indicator of the usefulness of messages from social media by leveraging the existing knowledge about natural hazards such as floods, thus being valuable for disaster management in both crisis response and preventive monitoring.",,data-centric,data quality,comparison with official data,natural disaster,floodings,Elbe Floods 2012,emergency managers,Twitter,,yes,,descriptive,,classification,,spatial filtering,,,"GAM, GLS",basic mapping,yes
p106,A geographic approach for combining social media and authoritative data towards identifying useful information for disaster management,2015,International Journal of Geographical Information Science,journal,Volunteered Geographic Information; social media; crisis; disaster; emergency management; Twitter; flood; Germany,http://dx.doi.org/10.1080/13658816.2014.996567,"In recent years, social media emerged as a potential resource to improve the management of crisis situations such as disasters triggered by natural hazards. Although there is a growing research body concerned with the analysis of the usage of social media during disasters, most previous work has concentrated on using social media as a stand-alone information source, whereas its combination with other information sources holds a still underexplored potential. This article presents an approach to enhance the identification of relevant messages from social media that relies upon the relations between georeferenced social media messages as Volunteered Geographic Information and geographic features of flood phenomena as derived from authoritative data (sensor data, hydrological data and digital elevation models). We apply this approach to examine the micro-blogging text messages of the Twitter platform (tweets) produced during the River Elbe Flood of June 2013 in Germany. This is performed by means of a statistical analysis aimed at identifying general spatial patterns in the occurrence of flood-related tweets that may be associated with proximity to and severity of flood events. The results show that messages near (up to 10ÿkm) to severely flooded areas have a much higher probability of being related to floods. In this manner, we conclude that the geographic approach proposed here provides a reliable quantitative indicator of the usefulness of messages from social media by leveraging the existing knowledge about natural hazards such as floods, thus being valuable for disaster management in both crisis response and preventive monitoring.",,data-centric,data contextualization,inferring or reasoning on location,natural disaster,floodings,Elbe Floods 2012,emergency managers,Twitter,,yes,,descriptive,,classification,,spatial filtering,,,"GAM, GLS",basic mapping,yes
p107,Digital Earth's Nervous System for crisis events: real-time Sensor Web Enablement of Volunteered Geographic Information,2010,International Journal of Digital Earth,journal,sensor web; VGI; SDI; crisis; Digital Earth's Nervous System,http://dx.doi.org/10.1080/17538947.2010.484869,"Digital Earth (DE) is a powerful metaphor for the organisation and access to digital information through a multi-scale three-dimensional representation of the globe. Recent progress gave a concrete body to this vision. However, this body is not yet self-aware: further integration of the temporal and voluntary dimension is needed to better portray the event-based nature of our world. We thus aim to extend DE vision with a Nervous System in order to provide decision makers with improved alerting mechanisms. Practical applications are foreseen for crisis management, where up-to-date situational awareness is needed. While it is traditionally built through trusted sources, citizens can play a complementary role by providing geo-referenced information known as Volunteered Geographic Information (VGI). Although workflows have been implemented to create, validate and distribute VGI datasets for various thematic domains, its exploitation in real time and its integration into existing concepts of DE, such as spatial data infrastructures, still needs to be further addressed. In this paper we suggest to bridge this gap through Sensor Web Enablement for VGI, where VGI sensing becomes a sense of the DE's Nervous System. We discuss this approach and its applicability in the context of a forest fire scenario.",,data-centric,data quality,comparison with official data,NA,NA,NA,NA,NA,,no,,methodological,,,,,,,,,no
p107,Digital Earth's Nervous System for crisis events: real-time Sensor Web Enablement of Volunteered Geographic Information,2010,International Journal of Digital Earth,journal,sensor web; VGI; SDI; crisis; Digital Earth's Nervous System,http://dx.doi.org/10.1080/17538947.2010.484869,"Digital Earth (DE) is a powerful metaphor for the organisation and access to digital information through a multi-scale three-dimensional representation of the globe. Recent progress gave a concrete body to this vision. However, this body is not yet self-aware: further integration of the temporal and voluntary dimension is needed to better portray the event-based nature of our world. We thus aim to extend DE vision with a Nervous System in order to provide decision makers with improved alerting mechanisms. Practical applications are foreseen for crisis management, where up-to-date situational awareness is needed. While it is traditionally built through trusted sources, citizens can play a complementary role by providing geo-referenced information known as Volunteered Geographic Information (VGI). Although workflows have been implemented to create, validate and distribute VGI datasets for various thematic domains, its exploitation in real time and its integration into existing concepts of DE, such as spatial data infrastructures, still needs to be further addressed. In this paper we suggest to bridge this gap through Sensor Web Enablement for VGI, where VGI sensing becomes a sense of the DE's Nervous System. We discuss this approach and its applicability in the context of a forest fire scenario.",,application-centric,crisis management (monitoring),variables monitoring,NA,NA,NA,NA,NA,,no,,methodological,,,,,,,,,no
p108,Citizens as sensors for natural hazards: A VGI integration workflow,2010,Geomatica,journal,NA,http://publications.jrc.ec.europa.eu/repository/handle/JRC52420,"Recent advances of the Internet, often subsumed under the term Web 2.0, have led to an unprecedented increase of contents created by non-specialist users. The term Volunteered Geographic Information (VGI) is now commonly used when such user-generated contents have an explicit reference to a geographic location. VGI has significant potential as a timely and cost-effective means to enhance our overall understanding of the Earth. However, integrating VGI into specialist-driven Information Systems is a major challenge, as it is often regarded as insufficiently structured, documented or validated. In this paper, we address the research question of how credibility in VGI can be increased, so that it becomes a valuable resource, within domains such as natural hazards. This is done by proposing a generic workflow that uses prior information about the phenomenon of interest and reasoning techniques to improve the reliability of the VGI; thus creating a useful source for scientific and technical investigation. This workflow has been developed for a particular case study: the use of pictures from the photo-sharing portal Flickr as a signal that allows the pinpointing recent flood events in the United Kingdom. A comparison of the workflow's output with independent information provided by scientists and journalists about these floods is also presented in order to uncover some of the strengths and weaknesses of VGI in our case study. We conclude that the proposed workflow allows VGI to be turned into a reliable data source.",,data-centric,data contextualization,context enrichment,natural disaster,floodings,UK floods,journalists,Twitter; Flickr,,no,,methodological,,classification,,"georeferencing, filtering",,,clustering,basic mapping,no
p108,Citizens as sensors for natural hazards: A VGI integration workflow,2010,Geomatica,journal,NA,http://publications.jrc.ec.europa.eu/repository/handle/JRC52420,"Recent advances of the Internet, often subsumed under the term Web 2.0, have led to an unprecedented increase of contents created by non-specialist users. The term Volunteered Geographic Information (VGI) is now commonly used when such user-generated contents have an explicit reference to a geographic location. VGI has significant potential as a timely and cost-effective means to enhance our overall understanding of the Earth. However, integrating VGI into specialist-driven Information Systems is a major challenge, as it is often regarded as insufficiently structured, documented or validated. In this paper, we address the research question of how credibility in VGI can be increased, so that it becomes a valuable resource, within domains such as natural hazards. This is done by proposing a generic workflow that uses prior information about the phenomenon of interest and reasoning techniques to improve the reliability of the VGI; thus creating a useful source for scientific and technical investigation. This workflow has been developed for a particular case study: the use of pictures from the photo-sharing portal Flickr as a signal that allows the pinpointing recent flood events in the United Kingdom. A comparison of the workflow's output with independent information provided by scientists and journalists about these floods is also presented in order to uncover some of the strengths and weaknesses of VGI in our case study. We conclude that the proposed workflow allows VGI to be turned into a reliable data source.",,application-centric,crisis management (monitoring),extract even-related information,natural disaster,floodings,UK floods,journalists,Twitter; Flickr,,no,,exploratory,,classification,,"georeferencing, filtering",,,clustering,basic mapping,no
p109,"Conducting disaster damage assessments with Spatial Video, experts, and citizens",2014,Applied Geography,journal,Disaster damage assessment; Spatial Video; Expert and inexperienced assessors,http://dx.doi.org/10.1016/j.apgeog.2014.04.014,"Damage assessment (DA) is an important part of the disaster recovery process, as it helps organizations like the American Red Cross provide assistance and relief to those most affected. Through it, homes are characterized by the damage they have received using five classes ranging from ?Unaffected? to ?Destroyed?. Rapid acquisition of damage assessment data may be achieved through crowdsourcing platforms where volunteers review images of affected structures. Further, these images can be geographically enriched through Spatial Video technology, whereby a car with a GPS-enabled camera captures a video recording of homes as workers on the ground drive through neighborhoods affected by the disaster. This technology has several key benefits over field surveys, including reduced cost, the creation of a digital record, and the ability to process the images quickly through crowdsourcing. However, the quality of such user-generated content must be examined to determine its usefulness. An online survey was conducted using imagery from a Spatial Video data collection to determine the potential of using these technologies as a crowdsourcing platform. The survey was distributed to DA experts at the American Red Cross spread across the U.S. as well as individuals connected with CrisisMappers, a mailing list for people interested in the intersection between crises and geospatial technology. Groups of inexperienced and experienced users produced statistically similar results, demonstrating that such content can be trusted and useful for damage assessment. Recommendations are made for the implementation of future systems, the adoption of related methodologies, and considerations for using the resulting data.",,application-centric,crisis management (recovery and response),user-driven data assessment,natural disaster,tornados,2012 Dallas Tornado,response agencies,Spatial video,,no,,descriptive,,collection,classification,,interrater agreement,,,none,no
p110,Visualisation of user-generated event information: Towards geospatial situation awareness using hierarchical granularity levels,2014,CEUR Workshop Proceedings,conference,NA,http://linkedscience.org/wp-content/uploads/2014/05/smile2014_submission_2.pdf,"In recent years, enterprises and emergency response teams have started to use user-generated content to monitor crises, events and trends. Especially in critical situations, decision makers must, above all, quickly assess huge amounts of data. Effective geographical visualization and aggregation of collected data is an important prerequisite to enable decision makers to infer the impact of a detected event on, for example, their supply chains and other physical establishments. However, in existing literature the aspect of geographical visualization of automatically analysed events is hardly addressed. In this paper, we propose to introduce hierarchical levels of detail, a concept from Geographic Information Systems, for the visualization of user-generated data describing a local event. We developed a tool which can improve the assessment of regional impacts by offering the possibility to browse and visualize results on layers aggregating data along individually defined hierarchical dimensions, e.g. geographical or political districts.",,data-centric,data contextualization,inferring or reasoning on location,natural disaster,NA,NA,NA,Synthetic data ,,no,,methodological,,,,georeferencing ,,,web mapping,basic mapping,yes
p111,Citizen-based sensing of crisis events: sensor web enablement for volunteered geographic information,2013,Applied Geomatics,journal,Sensor web enablement; Spatial data infrastructure; Volunteered geographic information; VGI; Sensing; Event Detection,http://dx.doi.org/10.1007/s12518-011-0056-y,"Thanks to recent convergence of greater access to broadband connections, the availability of Global Positioning Systems in small packages at affordable prices and more participative forms of interaction on the Web (Web 2.0), vast numbers of individuals became able to create and share Volunteered Geographic Information (VGI). The potential of up to six billion persons to monitor the state of the environment, validate global models with local knowledge, contribute to crisis situations awareness, and provide information that only humans can capture is vast and has yet to be fully exploited. Integrating VGI into Spatial Data Infrastructures (SDI) is a major challenge, as it is often regarded as insufficiently structured, documented, or validated according to scientific standards. Early instances of SDIs used to have limited ability to manage and process geosensor-based data (beyond remotely sensed imagery), which tend to arrive in continuous streams of real-time information. The current works on standards for Sensor Web Enablement fill this gap. This paper shows how such standards can be applied to VGI, thus converting it in a timely, cost-effective and valuable source of information for SDIs. By doing so, we extend previous efforts describing a workflow for VGI integration into SDI and further advance an initial set of VGI Sensing and event detection techniques. Examples of how such VGI Sensing techniques can support crisis information system are provided. The presented approach serves central building blocks for a Digital Earth?s nervous system, which is required to develop the next generation of (geospatial) information infrastructures.",,application-centric,crisis management (monitoring),extract even-related information,natural disaster,floodings,Floods UK 2012,emergency managers,Twitter; Flickr,,yes,,descriptive,,collection,,georeferencing,filtering,,clustering,basic mapping,yes
p111,Citizen-based sensing of crisis events: sensor web enablement for volunteered geographic information,2013,Applied Geomatics,journal,Sensor web enablement; Spatial data infrastructure; Volunteered geographic information; VGI; Sensing; Event Detection,http://dx.doi.org/10.1007/s12518-011-0056-y,"Thanks to recent convergence of greater access to broadband connections, the availability of Global Positioning Systems in small packages at affordable prices and more participative forms of interaction on the Web (Web 2.0), vast numbers of individuals became able to create and share Volunteered Geographic Information (VGI). The potential of up to six billion persons to monitor the state of the environment, validate global models with local knowledge, contribute to crisis situations awareness, and provide information that only humans can capture is vast and has yet to be fully exploited. Integrating VGI into Spatial Data Infrastructures (SDI) is a major challenge, as it is often regarded as insufficiently structured, documented, or validated according to scientific standards. Early instances of SDIs used to have limited ability to manage and process geosensor-based data (beyond remotely sensed imagery), which tend to arrive in continuous streams of real-time information. The current works on standards for Sensor Web Enablement fill this gap. This paper shows how such standards can be applied to VGI, thus converting it in a timely, cost-effective and valuable source of information for SDIs. By doing so, we extend previous efforts describing a workflow for VGI integration into SDI and further advance an initial set of VGI Sensing and event detection techniques. Examples of how such VGI Sensing techniques can support crisis information system are provided. The presented approach serves central building blocks for a Digital Earth?s nervous system, which is required to develop the next generation of (geospatial) information infrastructures.",,data-centric,data preparation,clustering,natural disaster,floodings,Floods UK 2012,emergency managers,Twitter; Flickr,,yes,,descriptive,,collection,,georeferencing,filtering,,clustering,basic mapping,yes
p112,Development of a spatial decision support system for flood risk management in Brazil that combines volunteered geographic information with wireless sensor networks,2015,Computers and Geosciences,journal,"flood risk management; spatial decision support system; volunterred geographic information, wireless sensor network, interoperability standards; application case",http://dx.doi.org/10.1016/j.cageo.2015.04.001,"Effective flood risk management requires updated information to ensure that the correct decisions can be made. This can be provided by Wireless Sensor Networks (WSN) which are a low-cost means of collecting updated information about rivers. Another valuable resource is Volunteered Geographic Information (VGI) which is a comparatively new means of improving the coverage of monitored areas because it is able to supply supplementary information to the WSN and thus support decision-making in flood risk management. However, there still remains the problem of how to combine WSN data with VGI. In this paper, an attempt is made to investigate AGORA-DS, which is a Spatial Decision Support System (SDSS) that is able to make flood risk management more effective by combining these data sources, i.e. WSN with VGI. This approach is built over a conceptual model that complies with the interoperable standards laid down by the Open Geospatial Consortium (OGC) - e.g. Sensor Observation Service (SOS) and Web Feature Service (WFS) - and seeks to combine and present unified information in a web-based decision support tool. This work was deployed in a real scenario of flood risk management in the town of SÆo Carlos in Brazil. The evidence obtained from this deployment confirmed that interoperable standards can support the integration of data from distinct data sources. In addition, they also show that VGI is able to provide information about areas of the river basin which lack data since there is no appropriate station in the area. Hence it provides a valuable support for the WSN data. It can thus be concluded that AGORA-DS is able to combine information provided by WSN and VGI, and provide useful information for supporting flood risk management. ¸ 2015 Elsevier Ltd.",,data-centric,data contextualization,situational awareness,natural disaster,floodings,Brazil,emergency managers,Citizen observatories,reports (water levelprovided by volunteers,yes,WSN,exploratory,app,,,"geo services (SOS, WFS)",,,"""Hazard index"" represents vulnerability loss related to human stability in fllod flows",geodashboard,yes
p112,Development of a spatial decision support system for flood risk management in Brazil that combines volunteered geographic information with wireless sensor networks,2015,Computers and Geosciences,journal,"flood risk management; spatial decision support system; volunterred geographic information, wireless sensor network, interoperability standards; application case",http://dx.doi.org/10.1016/j.cageo.2015.04.001,"Effective flood risk management requires updated information to ensure that the correct decisions can be made. This can be provided by Wireless Sensor Networks (WSN) which are a low-cost means of collecting updated information about rivers. Another valuable resource is Volunteered Geographic Information (VGI) which is a comparatively new means of improving the coverage of monitored areas because it is able to supply supplementary information to the WSN and thus support decision-making in flood risk management. However, there still remains the problem of how to combine WSN data with VGI. In this paper, an attempt is made to investigate AGORA-DS, which is a Spatial Decision Support System (SDSS) that is able to make flood risk management more effective by combining these data sources, i.e. WSN with VGI. This approach is built over a conceptual model that complies with the interoperable standards laid down by the Open Geospatial Consortium (OGC) - e.g. Sensor Observation Service (SOS) and Web Feature Service (WFS) - and seeks to combine and present unified information in a web-based decision support tool. This work was deployed in a real scenario of flood risk management in the town of SÆo Carlos in Brazil. The evidence obtained from this deployment confirmed that interoperable standards can support the integration of data from distinct data sources. In addition, they also show that VGI is able to provide information about areas of the river basin which lack data since there is no appropriate station in the area. Hence it provides a valuable support for the WSN data. It can thus be concluded that AGORA-DS is able to combine information provided by WSN and VGI, and provide useful information for supporting flood risk management. ¸ 2015 Elsevier Ltd.",,crisis-centric,crisis management (monitoring),variables monitoring,natural disaster,floodings,Brazil,emergency managers,Citizen observatories,reports (water levelprovided by volunteers,yes,WSN,exploratory,app,,,,,,,geodashboard,yes
p113,Identifying elements at risk from OpenStreetMap: The case of flooding,2014,International ISCRAM Conference,conference,Volunteered Geographic Information; VGI; Elements at Risk; Risk Assessment; Flood; OpenStreetMap; OSM,http://www.agora.icmc.usp.br/site/files/papers/schelhorn-iscram2014.pdf,"The identification of elements at risk is an essential part in hazard risk assessment. Especially for recurring natural hazards like floods, an updated database with information about elements exposed to such hazards is fundamental to support crisis preparedness and response activities. However, acquiring and maintaining an up-to-date database with elements at risk requires both detailed local and hazard-specific knowledge, being often a challenge for local communities and risk management bodies. We present a new approach for leveraging Volunteered Geographic Information to identify elements at risk from the free and open-source mapping project OpenStreetMap. We present initial results from a case study in the city of Cologne, Germany, to validate our approach in the case of flood-hazard. Our results show that the identification of elements at flood risk from OpenStreetMap is a suitable and cost-effective alternative for supporting local governments and communities in risk assessment and emergency planning.",,data-centric,data preparation,topic selection and classification,natural disaster,floodings,NA,local governments,Open Street Map,,no,,methodological,,manual classification,,,,,,,no
p113,Identifying elements at risk from OpenStreetMap: The case of flooding,2014,International ISCRAM Conference,conference,Volunteered Geographic Information; VGI; Elements at Risk; Risk Assessment; Flood; OpenStreetMap; OSM,http://www.agora.icmc.usp.br/site/files/papers/schelhorn-iscram2014.pdf,"The identification of elements at risk is an essential part in hazard risk assessment. Especially for recurring natural hazards like floods, an updated database with information about elements exposed to such hazards is fundamental to support crisis preparedness and response activities. However, acquiring and maintaining an up-to-date database with elements at risk requires both detailed local and hazard-specific knowledge, being often a challenge for local communities and risk management bodies. We present a new approach for leveraging Volunteered Geographic Information to identify elements at risk from the free and open-source mapping project OpenStreetMap. We present initial results from a case study in the city of Cologne, Germany, to validate our approach in the case of flood-hazard. Our results show that the identification of elements at flood risk from OpenStreetMap is a suitable and cost-effective alternative for supporting local governments and communities in risk assessment and emergency planning.",,crisis-centric,crisis management (detection and prediction),inventory of assets at risk,natural disaster,floodings,NA,local governments,Open Street Map,,no,,methodological,,,,,,,,,no
p114,A rich Internet application for automated detection of road blockage in post-disaster scenarios,2013,International Symposium of the Digital Earth,conference,NA,http://iopscience.iop.org/article/10.1088/1755-1315/18/1/012124,"This paper presents the development of a rich Internet application for automated detection of road blockage in post-disaster scenarios using volunteered geographic information from OpenStreetMap street centerlines and airborne light detection and ranging (LiDAR) data. The architecture of the application on the client-side and server-side was described. The major functionality of the application includes shapefile uploading, Web editing for spatial features, road blockage detection, and blockage points downloading. An example from the 2010 Haiti earthquake was included to demonstrate the effectiveness of the application. The results suggest that the prototype application can effectively detect (1) road blockage caused by earthquakes, and (2) some human errors caused by contributors of volunteered geographic information",,crisis-centric,crisis management (recovery and response),collective damage assessment,natural disaster,earthquakes,2012 Haiti earthquake,NA,Open Street Map,,yes,LIDAR point data,exploratory,,,,,,,geoprocessing service for road blockage detection,basic mapping,yes
p115,Towards an interoperable online volunteered geographic information system for disaster response,2015,Journal of Spatial Science,journal,volunteered geographic information (VGI); geospatial semantic web; disaster response,http://dx.doi.org/10.1080/14498596.2015.972996,"Although volunteered geographic information (VGI) (voluntarily provided crowd-sourcing spatial data) applications have proven to be useful for gathering information about a crisis, these applications have provided only limited utilities for response coordination. One major problem of existing implemented VGI systems is heterogeneous data semantics. To provide more utilities to disaster response, a VGI system that can encode data semantics is needed. The objective of this research is to propose such a VGI system based on the state-of-the-art Geospatial Semantic Web technologies. A prototype for disaster response in Connecticut was implemented. Although there are still issues waiting for further studies, the implemented prototype shows great promise.",,data-centric,data contextualization,semantic annotation,natural disaster,earthquakes,2011 Irene hurricane,emergency managers,Citizen observatories,reports,yes,"roads, streets, city boundaries",exploratory,app,,ML to match geostial features to geospatial ontologies,extend OGC services with geospatial semantic technologies,,,partition refinement algorithm for integration heterogeneous geospatial ontologies,basic mapping,yes
p115,Towards an interoperable online volunteered geographic information system for disaster response,2015,Journal of Spatial Science,journal,volunteered geographic information (VGI); geospatial semantic web; disaster response,http://dx.doi.org/10.1080/14498596.2015.972996,"Although volunteered geographic information (VGI) (voluntarily provided crowd-sourcing spatial data) applications have proven to be useful for gathering information about a crisis, these applications have provided only limited utilities for response coordination. One major problem of existing implemented VGI systems is heterogeneous data semantics. To provide more utilities to disaster response, a VGI system that can encode data semantics is needed. The objective of this research is to propose such a VGI system based on the state-of-the-art Geospatial Semantic Web technologies. A prototype for disaster response in Connecticut was implemented. Although there are still issues waiting for further studies, the implemented prototype shows great promise.",,data-centric,data preparation,topic selection and classification,natural disaster,hurricanes,2011 Irene hurricane,emergency managers,Citizen observatories,reports,yes,"roads, streets, city boundaries",exploratory,app,,ML to match geostial features to geospatial ontologies,extend OGC services with geospatial semantic technologies,,,partition refinement algorithm for integration heterogeneous geospatial ontologies,basic mapping,yes
